record_id,title,year,journal,doi,final,rct_confirmed,participant_type,game_type,nwkm_levels,specialty,duration,platform,comparator_type,n_intervention,n_control,outcome_primary,meta_usable,exclusion_code,reason
PedrottiM202550,Effect of a gamified simulation on nursing students' communication skills in end-of-life care: A randomized controlled trial,2025,Clinical Simulation in Nursing,10.1016/j.ecns.2025.101850,include,True,nursing student,GBL,L2,communication/mental health,unclear,unclear,unclear,,,Communication skills in end-of-life care,False,NONE,RCT of a gamified simulation on nursing students' communication skills in end-of-life care.
TankDY202572,From games to high fidelity: A comparative study of CPR training methods in nursing education,2025,Clinical Simulation in Nursing,10.1016/j.ecns.2025.101783,include,False,nursing student,GBL,L2,critical care/CPR/medication safety,unclear,unclear,unclear,,,CPR training performance,False,NONE,Comparative study of game-based vs high-fidelity CPR training in nursing education; on-topic but randomization not confirmed from title.
RezazadehM202583,Effects of Using Escape Room as an Assessment Game on Critical Thinking and Self-efficacy in Clinical Performance of Nursing Students: A Randomized Clinical Trial,2025,Avicenna Journal of Nursing and Midwifery Care,10.32592/ajnmc.33.2.128,include,True,nursing student,GBL,L2,other basic nursing,unclear,board/card/physical,unclear,,,Critical thinking and self-efficacy in clinical performance,False,NONE,Randomized clinical trial of escape room assessment game on critical thinking and self-efficacy in nursing students.
NodehiMHA202598,Examining the Impact of Escape Room-Based Assessment on Nursing Student’s Self-Efficacy Perception,2025,Strides in Development of Medical Education Journal,10.22062/sdme.2025.200059.1410,include,False,nursing student,GBL,L2,other basic nursing,unclear,board/card/physical,unclear,,,Self-efficacy perception,False,NONE,Escape room-based assessment effect on nursing student self-efficacy; on-topic but randomization not confirmed from title.
HolandaPCM2025101,Effectiveness of educational technology on human immunodeficiency virus/AIDS prevention: randomized clinical trial,2025,Revista Latino Americana De Enfermagem,10.1590/1518-8345.7352.4516,include,True,mixed/unclear,unclear,L2,infection control/wound care,unclear,unclear,unclear,,,HIV/AIDS prevention knowledge,False,NONE,"RCT of educational technology for HIV/AIDS prevention; game element and nursing-education population not confirmed from title, needs full text."
DemirayA2024125,Using a Board Game to Learn a Physical Assessment Course in Nursing Education: A Randomized Controlled Study,2024,Journal of Nursology,10.17049/jnursology.1428436,include,True,nursing student,GBL,L2,other basic nursing,unclear,board/card/physical,unclear,,,Physical assessment knowledge/skill,False,NONE,Randomized controlled study using a board game for a physical assessment course in nursing education.
XueX2024126,A study on the design of a medical terminology digital game and its application in undergraduate nursing students,2024,Chinese Journal of Nursing Education,10.3761/j.issn.1672-9234.2024.09.002,include,False,nursing student,GBL,L2,other basic nursing,unclear,digital(app/web),unclear,,,Medical terminology learning,False,NONE,Digital game for medical terminology applied to undergraduate nursing students; on-topic but randomization not confirmed from title.
TayRSC2024134,Enhancing teaching and learning of evidence-based practice via game-based learning,2024,Asia Pacific Scholar,10.29060/TAPS.2024-9-3/SC3111,include,False,nursing student,GBL,L2,other basic nursing,unclear,unclear,unclear,,,Evidence-based practice learning,False,NONE,Game-based learning for evidence-based practice teaching; on-topic but randomization and design not confirmed from title.
KulakaN2024143,The effect of a serious game-based web application on stoma care education for nursing students: A randomized controlled trial,2024,Teaching and Learning in Nursing,10.1016/j.teln.2023.10.001,include,True,nursing student,serious game,L2,infection control/wound care,unclear,digital(app/web),unclear,,,Stoma care knowledge/skill,False,NONE,RCT of a serious game-based web application for stoma care education in nursing students.
ChangCY2024145,Integrating scenario game-based learning with the experiential learning strategy to facilitate nursing students’ learning performance and core competencies in labor support training,2024,Interactive Learning Environments,10.1080/10494820.2024.2308092,include,False,nursing student,GBL,L2,other basic nursing,unclear,unclear,unclear,,,Learning performance and core competencies in labor support,False,NONE,Scenario game-based learning for nursing students' labor support training; on-topic but randomization not confirmed from title.
DoluI2024151,The impact of an educational game on rational drug use and society's attitudes towards the role of nurses,2024,European Journal of Clinical and Experimental Medicine,10.15584/ejcem.2024.3.29,include,False,mixed/unclear,GBL,L2,critical care/CPR/medication safety,unclear,unclear,unclear,,,Rational drug use knowledge and attitudes,False,NONE,Educational game on rational drug use; on-topic game intervention but nursing-education population and randomization not confirmed from title.
XiaoX2023158,Evaluation of Gamification on Surgical Nursing Course using Immersive Virtual Reality: A comparative study,2023,ACM International Conference Proceeding Series,10.1145/3644116.3644217,include,False,nursing student,gamification,L2,other basic nursing,unclear,digital(app/web),unclear,,,Surgical nursing learning outcomes,False,NONE,Gamification of a surgical nursing course via immersive VR in a comparative study; on-topic but randomization not confirmed from title.
ZhouW2023165,Evaluation of the effect of serious game teaching method in the cultivation of clinical reasoning and reflection ability of pediatric practice nurses,2023,Chinese Journal of Practical Nursing,10.3760/cma.j.cn211501-20220810-02539,include,False,nursing intern/trainee,serious game,L2,other basic nursing,unclear,unclear,unclear,,,Clinical reasoning and reflection ability,False,NONE,Serious game teaching for clinical reasoning/reflection in pediatric practice nurses; on-topic but randomization not confirmed from title.
DemirtasA2022185,The Serious Game and Integrated Simulator for Cardiopulmonary Resuscitation Training in Nursing Students,2022,Simulation and Gaming,10.1177/10468781211073162,include,False,nursing student,serious game,L2,critical care/CPR/medication safety,unclear,digital(app/web),unclear,,,CPR training performance,False,NONE,Serious game with integrated simulator for CPR training in nursing students; on-topic but randomization not confirmed from title.
FarsiZ2021218,Comparative effectiveness of simulation versus serious game for training nursing students in cardiopulmonary resuscitation: A randomized control trial,2021,International Journal of Computer Games Technology,10.1155/2021/6695077,include,True,nursing student,serious game,L2,critical care/CPR/medication safety,unclear,digital(app/web),unclear,,,CPR knowledge/skill,False,NONE,RCT comparing serious game vs simulation for CPR training in nursing students.
NoyudomA2015268,Using game activities as assessment tools for evaluating nursing students' understanding of tracheostomy care,2015,International Journal of Assessment and Evaluation,10.18848/2327-7920/cgp/v21i3-4/48366,include,False,nursing student,GBL,L2,other basic nursing,unclear,unclear,unclear,,,Tracheostomy care understanding,False,NONE,Game activities as assessment for nursing students' tracheostomy care understanding; on-topic but randomization not confirmed from title.
FossB2014269,Digital game-based learning: A supplement for medication calculation drills in nurse education,2014,E Learning and Digital Media,10.2304/elea.2014.11.4.342,include,False,nursing student,GBL,L2,critical care/CPR/medication safety,unclear,digital(app/web),unclear,,,Medication calculation skill,False,NONE,Digital game-based learning supplement for medication calculation drills in nurse education; on-topic but randomization not confirmed from title.
LeFloreJL2012278,Can a virtual patient trainer teach student nurses how to save lives-teaching nursing students about pediatric respiratory diseases,2012,Simulation in Healthcare,10.1097/SIH.0b013e31823652de,include,False,nursing student,serious game,L2,critical care/CPR/medication safety,unclear,digital(app/web),unclear,,,Knowledge of pediatric respiratory diseases,False,NONE,Virtual patient trainer (serious game) teaching student nurses about pediatric respiratory diseases; on-topic but randomization not confirmed from title.
IngramC1998290,Evaluation of an educational game for health sciences students.,1998,Journal of Nursing Education,,include,False,mixed/unclear,GBL,L2,unclear,unclear,unclear,unclear,,,Educational game evaluation,False,NONE,Evaluation of an educational game for health sciences/nursing students; on-topic but design and randomization not confirmed from title.
ChaudharyS202514,"Impact of self-directed learning strategy, an innovative method in nursing undergraduates: A randomized controlled trial",2025,Research Square,10.21203/rs.3.rs-7801690/v1,include,True,nursing student,GBL,L1; L2,critical care/CPR/medication safety,long(>1mo),unclear,ordinary/self-study,70,70,Self-directed learning ability and antimicrobial resistance/stewardship knowledge,False,NONE,RCT of game-based learning (antimicrobial stewardship game) vs conventional self-directed learning materials in nursing undergraduates.
ABUMETTLEQI2023114,Effectiveness of Game-Based Teaching Method on Nursing Students’ Knowledge of Enhanced Recovery After Surgery (ERAS),2023,Research Square,10.21203/rs.3.rs-2444398/v1,include,True,nursing student,gamification,L2,other basic nursing,unclear,digital(app/web),unclear,80,40,Knowledge of Enhanced Recovery After Surgery (ERAS),False,NONE,Randomized controlled design of Kahoot game-based teaching on nursing students' ERAS knowledge with quantitative outcomes.
